game_id,title,title_zh,developer_id,developer,is_goty,gg_degree,gg_pagerank,gg_betweenness,gg_clustering,year,player_rating,n_genres,has_open_world,has_coop,has_online,studio_wins,studio_n_games,studio_pagerank,g_3D平台跳跃,g_CRPG,g_VR平台跳跃,g_互动电影冒险,g_侦探冒险,g_冒险,g_动作,g_动作冒险,g_动作角色扮演,g_卡丁车竞速,g_卡牌,g_即时战略,g_合作冒险,g_合家欢冒险,g_喜剧冒险,g_回合制角色扮演,g_增强现实,g_大型多人在线角色扮演,g_太空角色扮演,g_射击,g_平台动作,g_平台跳跃,g_战术射击,g_数字卡牌,g_未来竞速,g_机甲动作,g_模拟,g_模拟经营,g_横向卷轴平台,g_生存恐怖,g_生活模拟,g_科幻角色扮演,g_竞速,g_第一人称射击,g_第三人称射击,g_策略,g_策略角色扮演,g_英雄射击,g_虚拟现实,g_西部动作冒险,g_角色扮演,g_解谜,g_解谜冒险,g_银河恶魔城,cluster,cluster_hier,pca_x,pca_y
game_013,The Witcher 3: Wild Hunt,巫师3：狂猎,studio_cdpr,CD Projekt Red,1,47,0.014174773998001997,0.03903071781326446,0.6188714153561518,2015,93.0,2,1,0,0,1,7,0.009502187837038416,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4.338046821805259,-2.7888106258036904
game_014,Baldur's Gate 3,博德之门3,studio_larian,Larian Studios,1,7,0.007202111664816371,0.0,1.0,2023,96.0,1,0,1,0,1,8,0.011402331449580177,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,-2.4134309230825637,-0.6340727968258164
game_015,The Walking Dead,行尸走肉（第一季）,studio_telltale,Telltale Games,1,8,0.00942196753680829,0.0,1.0,2012,89.0,1,0,0,0,1,9,0.014539001875987674,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,-1.0563869715457628,2.1783388704695748
game_016,Clair Obscur: Expedition 33,光与影：33号远征队,studio_sandfall,Sandfall Interactive,1,0,0.001413094677343382,0.0,0.0,2025,92.0,1,0,0,0,1,1,0.0029263786678389516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,-3.6208929702783084,-7.603003134037711
game_017,Sekiro: Shadows Die Twice,只狼：影逝二度,studio_fromsoftware,FromSoftware,1,38,0.011159693460960598,0.007735093676361942,0.7994310099573257,2019,91.0,1,0,0,0,2,8,0.011734831858284995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1.3553957291686536,-0.0371826973627447
game_018,Elden Ring,艾尔登法环,studio_fromsoftware,FromSoftware,1,44,0.014554838558796749,0.02144206310115099,0.6987315010570825,2022,96.0,2,1,0,0,2,8,0.011734831858284995,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4.5681537464816495,-1.5708577815467457
game_019,The Legend of Zelda: Breath of the Wild,塞尔达传说：旷野之息,studio_nintendoepd,Nintendo EPD,1,37,0.01184376679498892,0.047668502854221195,0.7672672672672672,2017,97.0,1,1,0,0,1,7,0.01095090746769535,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2.3963984536958387,-1.4478339864036853
game_020,Overwatch,守望先锋,studio_blizzard,Blizzard Entertainment,1,7,0.007003359230975296,0.0,1.0,2016,91.0,1,0,1,1,1,8,0.011194970932562559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,8,-3.0190959416576426,-0.7794279535746058
game_021,Fallout 3,辐射3,studio_bethesda,Bethesda Game Studios,0,47,0.014675335823491502,0.03157708207268389,0.6225716928769658,2008,93.0,2,1,0,0,2,8,0.010391215358544753,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4.828639778830634,-1.6039958099577611
game_022,Fallout 4,辐射4,studio_bethesda,Bethesda Game Studios,0,47,0.014675335823491502,0.03157708207268389,0.6225716928769658,2015,87.0,2,1,0,0,2,8,0.010391215358544753,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4.676815361967392,-1.8451758717231448
game_023,Fallout 76,辐射76,studio_bethesda,Bethesda Game Studios,0,8,0.006324151647537031,0.0010755342291730431,0.75,2018,52.0,1,1,0,1,2,8,0.010391215358544753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,-1.7420969120517618,-0.11909613343087265
