:START_ID(Game),:END_ID(Genre),:TYPE
game_093,genre_016,BELONGS_TO_GENRE
game_094,genre_022,BELONGS_TO_GENRE
game_095,genre_036,BELONGS_TO_GENRE
game_096,genre_043,BELONGS_TO_GENRE
game_097,genre_024,BELONGS_TO_GENRE
game_097,genre_015,BELONGS_TO_GENRE
game_098,genre_005,BELONGS_TO_GENRE
game_098,genre_013,BELONGS_TO_GENRE
game_099,genre_038,BELONGS_TO_GENRE
game_100,genre_035,BELONGS_TO_GENRE
game_101,genre_016,BELONGS_TO_GENRE
game_102,genre_040,BELONGS_TO_GENRE
game_103,genre_018,BELONGS_TO_GENRE
game_103,genre_015,BELONGS_TO_GENRE
game_104,genre_016,BELONGS_TO_GENRE
game_105,genre_046,BELONGS_TO_GENRE
game_106,genre_016,BELONGS_TO_GENRE
game_106,genre_013,BELONGS_TO_GENRE
game_106,genre_005,BELONGS_TO_GENRE
game_107,genre_025,BELONGS_TO_GENRE
game_107,genre_015,BELONGS_TO_GENRE
game_107,genre_014,BELONGS_TO_GENRE
